District,Postal Code,Latitude,Longitude
"Zhongzheng District,Taipei",100,25.0323611,121.518267
"Datong District,Taipei",103,25.065986,121.515514
"Zhongshan District,Taipei",104,25.0643611,121.533468
"Songshan District,Taipei",105,25.0498852,121.5772719
"Daan District,Taipei",106,25.0265152,121.534395
"Wanhua District,Taipei",108,25.0319327,121.4993322
"Xinyi District,Taipei",110,25.0375198,121.5636796
"Shilin District,Taipei",111,25.0918396,121.5242068
"Beitou District,Taipei",112,25.1319307,121.4985934
"Neihu District,Taipei",114,25.069664,121.5889983
"Nangang District,Taipei",115,25.0545779,121.6065999
"Wenshan District,Taipei",116,24.989786,121.570458
